Organization Key,Organization Id,Organization,Organization Name,Org Parent Key,Org Parent,Major Org Key,Major Org,Organization Level,Organization Number,Organization Sort,Assignable,Course,Description,Warehouse Load Date,D Code,Hr Department Code Old,Hr Org Unit Id,Hr Department Name
239,239,RLSLP,RES LIFE&STU PRG,129,RLSLAD,CHNCLR,861000,6,861000,0101030321,1,"","",01/08/16 05:13 AM,D_HOUSING,861000,10000894,Housing
241,241,ROTC-M,ROTC-MILITARY SC,129,DUE,CHNCLR,187500,5,187500,0101030421,1,"","",01/08/16 05:13 AM,D_ROTC,187500,10000557,Military Science
254,254,STUACT,STU ACTIVITIES,129,DSL,CHNCLR,441600,5,441600,0101030330,1,"","",01/08/16 05:13 AM,D_SLP,441600,10002535,Student Activities
257,257,T&LL,TEACH & LRN LAB,129,DUE,CHNCLR,441700,5,441700,0101030435,1,"","",01/08/16 05:13 AM,D_TLL,441700,10000743,Teaching & Learning Laboratory
263,263,VP-DEV,VP-RESOURCE DEV,163,EXECVP,EXECVP,410000,4,410000,0101030675,1,"","",01/08/16 05:13 AM,D_RESDEV,410000,10000658,Vice Pres for Resource Development
267,267,VP-SCP,VP &SCTY OF CORP,267,PRES,VP-SCP,402500,4,402500,0101090003,1,"","",01/08/16 05:13 AM,D_VP_SEC_CORP,402500,10000615,Secretary of the Corporation
107,107,ANTHRO,ANTHROPOLOGY,230,S H&SS,PROVST,093200,5,093200,0101060136,1,21A,"",01/08/16 05:13 AM,D_ANTHRO,093200,10000361,Anthropology Program
113,113,ATHLTC,ATHLETICS,129,DSL,CHNCLR,501000,5,501000,0101030301,1,"","",01/08/16 05:13 AM,D_ATHLETICS,501000,10000804,DAPER Intercollegiate Sports
120,120,CAMMIT,CAMBRIDGE-MIT INST,271,ZORG,ZORG,400900,4,400900,0101120004,1,"","",01/08/16 05:13 AM,D_CMI,400900,10000594,Cambridge-MIT Institute
130,130,CIPD,C INNOV PROD DEV,230,S ENG,PROVST,068900,5,068900,0101060069,1,"","",01/08/16 05:13 AM,D_CIPD,068900,10000346,Center for Innovation in Product Develmt
132,132,CIVIL,CIVIL & ENV ENG,230,S ENG,PROVST,063000,5,063000,0101060078,1,1,"",01/08/16 05:13 AM,D_CEE,063000,10000320,Civil and Environmental Engineering
144,144,D-GRAD,DEAN-GRAD STU,129,CHNCLR,CHNCLR,402200,4,402200,0101030100,1,"","",01/08/16 05:13 AM,D_DEANGRAD,402200,10000613,Ofc of the Dean for Graduate Education
156,156,EE&CS,ELEC ENG&COMP SC,230,S ENG,PROVST,064000,5,064000,0101060084,1,6,"",01/08/16 05:13 AM,D_EECS,064000,10000322,Electrical Engineering-Computer Science
161,161,ESDHQ,ENG SYS DIV HQTR,230,S ENG,PROVST,068100,5,068100,0101060087,1,ESD,"",01/08/16 05:13 AM,D_IDSS,068100,10000333,"Institute for Data, Systems, and Society"
164,164,F CLUB,FACULTY CLUB,129,DINING,CHNCLR,873000,6,801000,0101030305,1,"","",01/08/16 05:13 AM,D_DINING,801000,10000889,Dining
167,167,FOR L&L,FOREIGN LANGUAGE & LITERATURE,230,S H&SS,PROVST,093300,5,093300,0101060142,1,21F,"",01/08/16 05:13 AM,D_FLL,093300,10000362,Global Studies and Languages
168,168,FSS,FINANC SYS SVCS,163,IS&T,EXECVP,421200,5,421200,0101030638,1,"","",01/08/16 05:13 AM,D_IS&T,421200,10000682,Financial Systems Services
169,169,HAYSTK,HAYSTACK OBS,230,VP-RES,PROVST,401710,5,401710,0101060222,1,"","",01/08/16 05:13 AM,D_HAYSTACK,401710,10000601,Haystack Observatory
175,175,IMES,INST MED E & SCI,230,S ENG,PROVST,061901,5,061901,0101060093,1,IMES,Institute For Medical Engineering & Science,01/08/16 05:13 AM,D_IMES,061901,10004284,Institute for Medical Eng. and Science
181,181,KAVLI,K I FOR AST&SP R,230,S SCI,PROVST,159600,5,159600,0101060187,1,"","",01/08/16 05:13 AM,D_CSR,159600,10000544,Kavli Inst for Astrophysics & Space Rsrh
188,188,LI&PHL,LING & PHIL,230,S H&SS,PROVST,094000,5,094000,0101060147,1,24,"",01/08/16 05:13 AM,D_L&P,094000,10000367,Linguistics & Philosophy
191,191,LINCLB,LINCOLN LAB,230,VP-RES,PROVST,310000,5,310000,0101060260,1,"","",01/08/16 05:13 AM,D_LINCOLN,310000,10000581,Lincoln Laboratory
216,216,OTHMIT,OTHER MIT,216,PRES,OTHMIT,"",3,"",0101031200,1,"","",01/08/16 05:13 AM,"","","",""
221,221,PILM,PICOWER INSTITUTE,230,S SCI,PROVST,159300,5,159300,0101060196,1,"","",01/08/16 05:13 AM,D_PILM,159300,10000542,Picower Institute for Learning & Memory
238,238,RLSLAD,RLSLP ADMIN,129,DSL,CHNCLR,441300,5,441300,0101030315,1,"","",01/08/16 05:13 AM,D_SLP,441300,10000730,Student Life Programs
242,242,ROTC-N,ROTC-NAVAL SC,129,DUE,CHNCLR,187800,5,187800,0101030424,1,"","",01/08/16 05:13 AM,D_ROTC,187800,10000558,Naval Science
246,246,S SCI,SCH OF SCIENCE,230,PROVST,PROVST,150000,4,150000,0101060162,1,"","",01/08/16 05:13 AM,D_DEANSCI,150000,10000426,School of Science
250,250,SPEC L,SPECTROSCOPY LAB,230,S SCI,PROVST,159500,5,159500,0101060198,1,"","",01/08/16 05:13 AM,D_SPEC,159500,10000543,Spectroscopy Laboratory
262,262,US&P,URBAN ST & PLAN,230,SAP,PROVST,035000,5,035000,0101060048,1,11,"",01/08/16 05:13 AM,D_DUSP,035000,10000273,Urban Studies & Planning
