Organization Key,Organization Id,Organization,Organization Name,Org Parent Key,Org Parent,Major Org Key,Major Org,Organization Level,Organization Number,Organization Sort,Assignable,Course,Description,Warehouse Load Date,D Code,Hr Department Code Old,Hr Org Unit Id,Hr Department Name
207,207,NRL,NUCL REACTOR LAB,230,VP-RES,PROVST,264000,5,264000,0101060226,1,"","",01/08/16 05:13 AM,D_NRL,264000,10000575,Nuclear Reactor Laboratory
210,210,OFPRES,OFF OF PRESIDENT,210,PRES,OFPRES,401000,4,401000,0101030900,1,"","",01/08/16 05:13 AM,D_PRESIDENT,401000,10000595,Office of the President
227,227,PROCUR,PROCUREMENT,163,VP-FIN,EXECVP,426000,5,407030,0101030616,1,"","",01/08/16 05:13 AM,D_PROCURE,407030,10003487,Sourcing and Procurement
231,231,PSFC,PLASMA SCI FSN CTR,230,VP-RES,PROVST,243000,5,243000,0101060231,1,"","",01/08/16 05:13 AM,D_PSFC,243000,10000569,Plasma Science and Fusion Center
244,244,S H&SS,SCH OF HUM & S S,230,PROVST,PROVST,090000,4,090000,0101060135,1,"","",01/08/16 05:13 AM,D_DHSS,090000,10000357,"School of Humanities, Arts, & Social Sci"
245,245,S MGMT,SCH OF MANAGEMNT,230,PROVST,PROVST,000031,4,121000,0101060156,1,15,"",01/08/16 05:13 AM,D_SLOAN,121000,10000378,Sloan School of Management
255,255,STUFIN,STU FINANCE SVCS,129,DUE,CHNCLR,449000,5,449000,0101030430,1,"","",01/08/16 05:13 AM,D_SFS,449000,10000768,Student Financial Services
265,265,VP-HUM,VP-HUMAN RES,163,EXECVP,EXECVP,409100,4,409100,0101030660,1,"","",01/08/16 05:13 AM,D_HR,409100,10000655,Vice President for Human Resources
140,140,CRE,C FOR RL ESTATE,230,SAP,PROVST,033000,5,033000,0101060042,1,"","",01/08/16 05:13 AM,D_CRE,033000,10000272,Center for Real Estate
141,141,CRPDEV,CORP DEVELOPMENT,163,VP-DEV,EXECVP,410010,5,410010,0101030678,1,"","",01/08/16 05:13 AM,D_RESDEV,410010,10000659,Corporate Development
154,154,ECONOM,ECONOMICS,230,S H&SS,PROVST,091000,5,091000,0101060141,1,14,"",01/08/16 05:13 AM,D_ECO,091000,10000359,Economics
155,155,EDGCTR,EDGERTON CENTER,129,DUE,CHNCLR,440100,5,440100,0101030406,1,"","",01/08/16 05:13 AM,D_EDGERTON,440100,10000721,Edgerton Center
158,158,EI,ENERGY INITIATIV,230,VP-RES,PROVST,320000,5,320000,0101060216,1,"","",01/08/16 05:13 AM,D_LFEE,320000,10000582,MIT Energy Initiative
176,176,INSTPF,INST PROFESSORS,271,ZORG,ZORG,010000,4,010000,0101120009,1,"","",01/08/16 05:13 AM,D_INST_PROF,010000,10000265,Institute Professors
190,190,LICENC,TECH LICENSE OFF,230,APROV,PROVST,404000,5,404000,0101060004,1,"","",01/08/16 05:13 AM,D_TLO,404000,10000618,Technology Licensing Office
194,194,LM&P,LAB FOR MFG&PROD,230,MECH,PROVST,069700,6,069700,0101060122,1,"","",01/08/16 05:13 AM,D_MECHE,069700,10000352,Lab for Manufacturing & Productivity
196,196,M&T ART,MUSIC & THEATER ART,230,S H&SS,PROVST,093700,5,093700,0101060149,1,21M,"",01/08/16 05:13 AM,D_MTA,093700,10000365,Music and Theater Arts Section
