Building Address Key,Building Key,Address Purpose,Address City Id,Is E911 Address,Street Number,Street Number Suffix,Pre Directional,Street Name,Street Suffix,Post Directional,City,State,Postal Code,Warehouse Load Date
W16-PARCL1,W16,PARCL1,"","",MAS60,"","","","","","","",02139,01/08/16 05:13 AM
W16-STREET,W16,STREET,31044,"",48,R,"",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W20-E911_1,W20,E911_1,682,"",84,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W20-MAIL,W20,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W20-PARCL1,W20,PARCL1,"","",MAS76R,"","","","","","","",02139,01/08/16 05:13 AM
W20-STREET,W20,STREET,682,"",84,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W31-E911_1,W31,E911_1,48,"",120,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W31-MAIL,W31,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W31-PARCL1,W31,PARCL1,"","",MAS120,"","","","","","","",02139,01/08/16 05:13 AM
W31-STREET,W31,STREET,48,"",120,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W32-E911_1,W32,E911_1,49,"",100,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W32-MAIL,W32,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W32-PARCL1,W32,PARCL1,"","",MAS120,"","","","","","","",02139,01/08/16 05:13 AM
W32-STREET,W32,STREET,49,"",100,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W33-E911_1,W33,E911_1,49,"",100,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W33-E911_2,W33,E911_2,47,"",106,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W33-MAIL,W33,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W33-PARCL1,W33,PARCL1,"","",VAS106,"","","","","","","",02139,01/08/16 05:13 AM
W33-STREET,W33,STREET,47,"",106,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W34-E911_1,W34,E911_1,672,"",120,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W34-MAIL,W34,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W34-PARCL1,W34,PARCL1,"","",VAS106,"","","","","","","",02139,01/08/16 05:13 AM
W34-STREET,W34,STREET,672,"",120,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W35-E911_1,W35,E911_1,672,"",120,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W35-MAIL,W35,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W35-STREET,W35,STREET,672,"",120,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W45-E911_1,W45,E911_1,635,"",125,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W45-MAIL,W45,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W45-PARCL1,W45,PARCL1,"","",VAS125,"","","","","","","",02139,01/08/16 05:13 AM
W45-STREET,W45,STREET,635,"",125,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W51-E911_1,W51,E911_1,45,"",410,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W51-MAIL,W51,MAIL,45,"",410,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W51-PARCL1,W51,PARCL1,"","",MEM410,"","","","","","","",02139,01/08/16 05:13 AM
W51-PARCL2,W51,PARCL2,"","",MEM405,"","","","","","","",02139,01/08/16 05:13 AM
W51-STREET,W51,STREET,45,"",410,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W51C-E911_1,W51C,E911_1,14139,"",405,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W51C-MAIL,W51C,MAIL,"","",77,"","",MASSACHUSETTS,AVE,(Rear),CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W51C-STREET,W51C,STREET,14139,"",405,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W53-E911_1,W53,E911_1,31046,"",410,R,"",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W53-MAIL,W53,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W53-PARCL1,W53,PARCL1,"","",VAS160,"","","","","","","",02139,01/08/16 05:13 AM
W53-PARCL2,W53,PARCL2,"","",VAS170,"","","","","","","",02139,01/08/16 05:13 AM
W53-PARCL3,W53,PARCL3,"","",VAS106,"","","","","","","",02139,01/08/16 05:13 AM
W53-STREET,W53,STREET,"","",410,"","",MEMORIAL,DR,(Rear),CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W53A-E911_1,W53A,E911_1,31046,"",410,R,"",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W53A-MAIL,W53A,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W53A-PARCL1,W53A,PARCL1,"","",VAS170,"","","","","","","",02139,01/08/16 05:13 AM
W53A-STREET,W53A,STREET,"","",410,"","",MEMORIAL,DR,(Rear),CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W53B-E911_1,W53B,E911_1,31046,"",410,R,"",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W53B-MAIL,W53B,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W53B-PARCL1,W53B,PARCL1,"","",VAS170,"","","","","","","",02139,01/08/16 05:13 AM
W53B-STREET,W53B,STREET,"","",410,"","",MEMORIAL,DR,(Rear),CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W53C-E911_1,W53C,E911_1,31046,"",410,R,"",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W53C-MAIL,W53C,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W53C-STREET,W53C,STREET,"","",410,"","",MEMORIAL,DR,(Rear),CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W53D-E911_1,W53D,E911_1,31046,"",410,R,"",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W53D-MAIL,W53D,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W53D-STREET,W53D,STREET,"","",410,"","",MEMORIAL,DR,(Rear),CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W56-E911_1,W56,E911_1,"","",169,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W56-MAIL,W56,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W56-STREET,W56,STREET,"","",169,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W57-E911_1,W57,E911_1,"","",169,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W57-STREET,W57,STREET,"","",169,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W57A-E911_1,W57A,E911_1,"","",169,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W57A-STREET,W57A,STREET,"","",169,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W59-E911_1,W59,E911_1,630,"",201,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W59-MAIL,W59,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W59-PARCL1,W59,PARCL1,"","",VAS201,"","","","","","","",02139,01/08/16 05:13 AM
W59-STREET,W59,STREET,630,"",201,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61-E911_1,W61,E911_1,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61-MAIL,W61,MAIL,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61-PARCL1,W61,PARCL1,"","",MEM430,"","","","","","","",02139,01/08/16 05:13 AM
W61-STREET,W61,STREET,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
W61A-E911_1,W61A,E911_1,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
