tid;relationship;related_tid;targrel_id
104304;SUPERSET OF;12514;36154
104282;SUPERSET OF;12715;36155
104282;SUPERSET OF;10819;36157
104282;SUBSET OF;105709;36158
104282;OVERLAPS WITH;107885;36161
104282;OVERLAPS WITH;107884;36162
104282;OVERLAPS WITH;105076;36163
104284;OVERLAPS WITH;104289;36164
104284;SUBSET OF;104692;36165
104284;OVERLAPS WITH;108132;36166
104284;SUPERSET OF;12717;36167
104284;SUPERSET OF;10023;36168
104284;OVERLAPS WITH;104287;36169
104284;OVERLAPS WITH;104286;36170
104247;SUBSET OF;107940;36171
104680;SUBSET OF;104693;36172
104680;SUPERSET OF;12744;36173
104680;SUPERSET OF;10364;36174
104680;SUPERSET OF;12216;36175
104682;SUPERSET OF;19;36176
104682;SUPERSET OF;174;36177
104685;SUPERSET OF;49;36178
104685;OVERLAPS WITH;104985;36179
104685;OVERLAPS WITH;104292;36180
104685;SUBSET OF;104960;36181
104685;OVERLAPS WITH;104936;36182
104745;SUPERSET OF;10868;36184
104745;SUPERSET OF;10542;36185
104753;SUPERSET OF;11544;36186
104753;SUPERSET OF;10157;36187
104756;SUPERSET OF;10560;36188
104756;SUPERSET OF;10559;36189
104756;SUPERSET OF;10558;36190
104769;SUPERSET OF;10472;36191
104769;SUPERSET OF;11522;36192
104776;SUPERSET OF;105505;36193
104776;SUPERSET OF;10008;36194
104776;SUPERSET OF;10298;36195
104776;SUPERSET OF;10315;36196
104776;SUPERSET OF;12471;36197
104810;SUPERSET OF;11861;36201
104440;SUBSET OF;107913;36202
104732;SUPERSET OF;10600;36204
104732;SUPERSET OF;10601;36206
104736;SUPERSET OF;137;36207
104736;SUPERSET OF;136;36208
104736;SUBSET OF;104765;36209
104736;OVERLAPS WITH;104734;36210
104736;OVERLAPS WITH;104741;36211
104744;OVERLAPS WITH;104882;36212
104744;SUPERSET OF;10577;36213
104744;SUPERSET OF;10576;36214
104744;SUPERSET OF;10578;36215
104744;SUPERSET OF;108395;36216
104744;SUBSET OF;104705;36217
104744;SUPERSET OF;10619;36218
104880;OVERLAPS WITH;105082;36222
104880;SUPERSET OF;50;36223
104880;OVERLAPS WITH;104854;36224
104880;SUBSET OF;104700;36225
104880;SUBSET OF;105670;36226
104880;SUPERSET OF;226;36227
104902;SUPERSET OF;11759;36229
104902;SUPERSET OF;107906;36230
104902;SUPERSET OF;12378;36231
104902;SUPERSET OF;12376;36232
104902;SUPERSET OF;11223;36233
104905;OVERLAPS WITH;105038;36234
104905;OVERLAPS WITH;104757;36235
104905;SUPERSET OF;74;36236
104905;SUPERSET OF;11463;36237
104905;SUPERSET OF;11881;36238
104905;SUPERSET OF;221;36239
104905;SUBSET OF;104688;36240
