year,region,name,ratio
2019,9,Oceania,0.96
2020,9,Oceania,0.98
2020,9,Oceania,0.94
2020,9,Oceania,0.96
2010,4,Afghanistan,0.68
2010,4,Afghanistan,0.5
2010,4,Afghanistan,0.42
2015,4,Afghanistan,0.68
2015,4,Afghanistan,0.56
2015,4,Afghanistan,0.52
2018,4,Afghanistan,0.67
2018,4,Afghanistan,0.57
2018,4,Afghanistan,0.54
2005,8,Albania,1.01
2005,8,Albania,0.97
2005,8,Albania,0.91
2010,8,Albania,1.01
2010,8,Albania,1.01
2010,8,Albania,0.97
2015,8,Albania,1.03
2015,8,Albania,0.96
2015,8,Albania,0.9
2018,8,Albania,1.04
2018,8,Albania,1.01
2018,8,Albania,0.97
2019,8,Albania,1.03
2019,8,Albania,1.01
2019,8,Albania,0.98
2020,8,Albania,1.03
2020,8,Albania,1.02
2020,8,Albania,1.01
2005,12,Algeria,0.93
2005,12,Algeria,1.1
2005,12,Algeria,1.48
2010,12,Algeria,0.94
2010,12,Algeria,1.04
2010,12,Algeria,1.42
2015,12,Algeria,0.95
2018,12,Algeria,0.96
2019,12,Algeria,0.96
2020,12,Algeria,0.97
2010,24,Angola,0.8
2010,24,Angola,0.68
2010,24,Angola,0.56
2015,24,Angola,0.87
2010,28,Antigua and Barbuda,0.92
2010,28,Antigua and Barbuda,1.05
2010,28,Antigua and Barbuda,1.53
2015,28,Antigua and Barbuda,0.97
2015,28,Antigua and Barbuda,1.02
2015,28,Antigua and Barbuda,1.15
2018,28,Antigua and Barbuda,0.99
2018,28,Antigua and Barbuda,0.96
2018,28,Antigua and Barbuda,1.13
2005,32,Argentina,0.99
2005,32,Argentina,1.09
2005,32,Argentina,1.16
2010,32,Argentina,0.99
2010,32,Argentina,1.1
2010,32,Argentina,1.2
2015,32,Argentina,1.0
2015,32,Argentina,1.06
2015,32,Argentina,1.15
2018,32,Argentina,1.0
2018,32,Argentina,1.04
2018,32,Argentina,1.12
2019,32,Argentina,1.0
2019,32,Argentina,1.04
2019,32,Argentina,1.1
2005,51,Armenia,1.02
2010,51,Armenia,1.03
2010,51,Armenia,0.98
2010,51,Armenia,0.96
2015,51,Armenia,1.02
2015,51,Armenia,1.05
2015,51,Armenia,1.11
2018,51,Armenia,1.0
2018,51,Armenia,1.04
2018,51,Armenia,1.08
2019,51,Armenia,1.01
2019,51,Armenia,1.05
2019,51,Armenia,1.12
2020,51,Armenia,1.01
2020,51,Armenia,1.04
2020,51,Armenia,1.1
2005,36,Australia,1.02
2010,36,Australia,1.0
2015,36,Australia,1.0
2015,36,Australia,0.87
2015,36,Australia,0.85
2018,36,Australia,1.0
2018,36,Australia,0.94
2018,36,Australia,0.96
2019,36,Australia,1.0
2019,36,Australia,0.93
2019,36,Australia,0.93
2005,40,Austria,1.0
2005,40,Austria,0.95
2005,40,Austria,0.91
2010,40,Austria,0.99
2010,40,Austria,0.96
2010,40,Austria,0.93
2015,40,Austria,0.99
2015,40,Austria,0.96
2015,40,Austria,0.94
2018,40,Austria,0.99
2018,40,Austria,0.96
2018,40,Austria,0.93
2019,40,Austria,0.99
2019,40,Austria,0.97
2019,40,Austria,0.95
2005,31,Azerbaijan,0.95
2010,31,Azerbaijan,0.99
2015,31,Azerbaijan,0.98
2018,31,Azerbaijan,1.01
2018,31,Azerbaijan,1.0
2018,31,Azerbaijan,1.03
2019,31,Azerbaijan,1.03
2019,31,Azerbaijan,1.0
2019,31,Azerbaijan,1.01
2020,31,Azerbaijan,1.04
2020,31,Azerbaijan,0.98
2020,31,Azerbaijan,0.95
2005,44,Bahamas,0.97
2005,44,Bahamas,0.99
2005,44,Bahamas,1.05
2010,44,Bahamas,1.04
2010,44,Bahamas,1.07
2005,48,Bahrain,1.04
2005,48,Bahrain,1.11
2005,48,Bahrain,1.19
2015,48,Bahrain,1.01
2015,48,Bahrain,0.99
2015,48,Bahrain,1.03
2018,48,Bahrain,0.99
2018,48,Bahrain,1.06
2018,48,Bahrain,1.05
2019,48,Bahrain,0.99
2019,48,Bahrain,1.09
2019,48,Bahrain,1.12
2010,48,Bahrain,1.01
2010,48,Bahrain,1.05
2005,50,Bangladesh,1.05
2005,50,Bangladesh,1.07
2005,50,Bangladesh,0.97
2010,50,Bangladesh,1.06
2010,50,Bangladesh,1.12
2010,50,Bangladesh,0.97
2018,50,Bangladesh,1.07
2018,50,Bangladesh,1.16
2018,50,Bangladesh,1.04
2020,50,Bangladesh,1.09
2020,50,Bangladesh,1.21
2020,50,Bangladesh,1.12
2015,50,Bangladesh,1.13
2015,50,Bangladesh,0.99
2019,50,Bangladesh,1.17
2019,50,Bangladesh,1.06
2005,52,Barbados,1.0
2005,52,Barbados,0.99
2005,52,Barbados,1.03
2010,52,Barbados,1.02
2010,52,Barbados,1.0
2010,52,Barbados,1.08
2015,52,Barbados,0.99
2015,52,Barbados,1.04
2015,52,Barbados,1.05
2018,52,Barbados,0.96
2018,52,Barbados,1.04
2018,52,Barbados,1.09
2019,52,Barbados,0.96
2019,52,Barbados,1.04
2019,52,Barbados,1.08
2020,52,Barbados,0.97
2020,52,Barbados,1.03
2020,52,Barbados,1.13
2005,112,Belarus,0.97
2010,112,Belarus,1.0
2010,112,Belarus,0.97
2010,112,Belarus,0.93
2015,112,Belarus,1.0
2015,112,Belarus,0.98
2015,112,Belarus,0.95
2018,112,Belarus,1.0
2018,112,Belarus,0.99
2018,112,Belarus,0.94
2005,56,Belgium,1.0
2005,56,Belgium,1.12
2005,56,Belgium,1.1
2010,56,Belgium,1.0
2010,56,Belgium,1.14
2010,56,Belgium,1.18
2015,56,Belgium,1.0
2015,56,Belgium,1.14
2015,56,Belgium,1.18
2018,56,Belgium,1.0
2018,56,Belgium,1.12
2018,56,Belgium,1.17
2019,56,Belgium,1.01
2019,56,Belgium,1.13
2019,56,Belgium,1.17
2005,84,Belize,0.96
2005,84,Belize,1.03
2005,84,Belize,1.16
2010,84,Belize,0.96
2010,84,Belize,1.08
2010,84,Belize,1.2
2015,84,Belize,0.95
2015,84,Belize,1.03
2015,84,Belize,1.13
2018,84,Belize,0.95
2018,84,Belize,1.04
2018,84,Belize,1.22
2019,84,Belize,0.97
2019,84,Belize,1.02
2019,84,Belize,1.17
2020,84,Belize,0.95
2020,84,Belize,1.04
2020,84,Belize,1.17
2005,204,Benin,0.79
2005,204,Benin,0.51
2010,204,Benin,0.89
2015,204,Benin,0.93
2015,204,Benin,0.71
2015,204,Benin,0.5
2018,204,Benin,0.94
2019,204,Benin,0.93
2020,204,Benin,0.93
2020,204,Benin,0.81
2020,204,Benin,0.65
2005,64,Bhutan,0.97
2005,64,Bhutan,0.92
2005,64,Bhutan,0.69
2010,64,Bhutan,1.02
2010,64,Bhutan,1.04
2010,64,Bhutan,0.91
2015,64,Bhutan,1.01
2015,64,Bhutan,1.07
2015,64,Bhutan,0.98
2018,64,Bhutan,1.0
2018,64,Bhutan,1.13
2018,64,Bhutan,1.06
2020,64,Bhutan,1.02
2005,68,Bolivia (Plurin. State of),1.0
2005,68,Bolivia (Plurin. State of),0.95
2005,68,Bolivia (Plurin. State of),0.95
2010,68,Bolivia (Plurin. State of),0.99
2010,68,Bolivia (Plurin. State of),1.0
2010,68,Bolivia (Plurin. State of),1.01
2015,68,Bolivia (Plurin. State of),0.98
2015,68,Bolivia (Plurin. State of),0.99
2015,68,Bolivia (Plurin. State of),1.0
2018,68,Bolivia (Plurin. State of),0.99
2018,68,Bolivia (Plurin. State of),0.98
2018,68,Bolivia (Plurin. State of),1.0
2019,68,Bolivia (Plurin. State of),0.99
2019,68,Bolivia (Plurin. State of),0.98
2019,68,Bolivia (Plurin. State of),1.01
2019,70,Bosnia and Herzegovina,1.04
2020,70,Bosnia and Herzegovina,1.04
2005,72,Botswana,0.99
2005,72,Botswana,1.03
2005,72,Botswana,0.97
2015,72,Botswana,0.98
2005,76,Brazil,0.94
2005,76,Brazil,1.1
2005,76,Brazil,1.17
