sid,name,capital
3,Massachusetts,Boston
6,California,Sacramento
9,Kentucky,Frankfort
12,Colorado,Denver
15,Wyoming,Cheyenne
18,Tennessee,Nashville
22,New Mexico,Santa Fe
25,New York,Albany
28,Minnesota,St. Paul
31,Michigan,Lansing
